2026-06-01T13:54:27 | DEBUG    | trading_bot | Logging initialised — file: logs\trading_bot.log
2026-06-01T13:54:28 | DEBUG    | trading_bot.client | BinanceFuturesClient initialised — base_url=https://testnet.binancefuture.com
2026-06-01T13:54:28 | DEBUG    | trading_bot.validators | Validated: symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stop_price=None
2026-06-01T13:54:28 | INFO     | trading_bot.orders | Placing order — type=MARKET side=BUY symbol=BTCUSDT qty=0.001 price=None stop_price=None
2026-06-01T13:54:28 | DEBUG    | trading_bot.client | REQUEST POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'quantity': '0.001000', 'type': 'MARKET', 'recvWindow': 5000, 'timestamp': 1780302268008, 'signature': '***'}
2026-06-01T13:54:28 | DEBUG    | trading_bot.client | RESPONSE 200  body={"orderId":13677072579,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"m81MMawlA4AJmgZFB7IUvG","price":"0.00","avgPrice":"0.00","origQty":"0.0010","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1780302271341}
2026-06-01T13:54:28 | INFO     | trading_bot.orders | Order accepted — orderId=13677072579 status=NEW executedQty=0.0000 avgPrice=0.00
2026-06-01T13:55:01 | DEBUG    | trading_bot | Logging initialised — file: logs\trading_bot.log
2026-06-01T13:55:02 | DEBUG    | trading_bot.client | BinanceFuturesClient initialised — base_url=https://testnet.binancefuture.com
2026-06-01T13:55:02 | DEBUG    | trading_bot.validators | Validated: symbol=BTCUSDT side=SELL type=LIMIT qty=0.001 price=75000.0 stop_price=None
2026-06-01T13:55:02 | INFO     | trading_bot.orders | Placing order — type=LIMIT side=SELL symbol=BTCUSDT qty=0.001 price=75000.0 stop_price=None
2026-06-01T13:55:02 | DEBUG    | trading_bot.client | REQUEST POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'quantity': '0.001000', 'type': 'LIMIT', 'timeInForce': 'GTC', 'price': '75000.000000', 'recvWindow': 5000, 'timestamp': 1780302302085, 'signature': '***'}
2026-06-01T13:55:02 | DEBUG    | trading_bot.client | RESPONSE 200  body={"orderId":13677131116,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"rbWrHP1scKGItVrWaq8UC9","price":"75000.00","avgPrice":"0.00","origQty":"0.0010","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1780302305420}
2026-06-01T13:55:02 | INFO     | trading_bot.orders | Order accepted — orderId=13677131116 status=NEW executedQty=0.0000 avgPrice=0.00
2026-06-01T13:55:18 | DEBUG    | trading_bot | Logging initialised — file: logs\trading_bot.log
2026-06-01T13:55:19 | DEBUG    | trading_bot.client | BinanceFuturesClient initialised — base_url=https://testnet.binancefuture.com
2026-06-01T13:55:19 | DEBUG    | trading_bot.validators | Validated: symbol=BTCUSDT side=BUY type=LIMIT qty=0.001 price=60000.0 stop_price=None
2026-06-01T13:55:19 | INFO     | trading_bot.orders | Placing order — type=LIMIT side=BUY symbol=BTCUSDT qty=0.001 price=60000.0 stop_price=None
2026-06-01T13:55:19 | DEBUG    | trading_bot.client | REQUEST POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'quantity': '0.001000', 'type': 'LIMIT', 'timeInForce': 'GTC', 'price': '60000.000000', 'recvWindow': 5000, 'timestamp': 1780302319088, 'signature': '***'}
2026-06-01T13:55:19 | DEBUG    | trading_bot.client | RESPONSE 200  body={"orderId":13677146423,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"ozH6xLHhiA1hspOGbvkJ5n","price":"60000.00","avgPrice":"0.00","origQty":"0.0010","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1780302322407}
2026-06-01T13:55:19 | INFO     | trading_bot.orders | Order accepted — orderId=13677146423 status=NEW executedQty=0.0000 avgPrice=0.00
2026-06-01T13:55:56 | DEBUG    | trading_bot | Logging initialised — file: logs\trading_bot.log
2026-06-01T13:55:56 | DEBUG    | trading_bot.client | BinanceFuturesClient initialised — base_url=https://testnet.binancefuture.com
2026-06-01T13:56:27 | DEBUG    | trading_bot.validators | Validated: symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stop_price=None
2026-06-01T13:56:27 | INFO     | trading_bot.orders | Placing order — type=MARKET side=BUY symbol=BTCUSDT qty=0.001 price=None stop_price=None
2026-06-01T13:56:27 | DEBUG    | trading_bot.client | REQUEST POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'quantity': '0.001000', 'type': 'MARKET', 'recvWindow': 5000, 'timestamp': 1780302387453, 'signature': '***'}
2026-06-01T13:56:27 | DEBUG    | trading_bot.client | RESPONSE 200  body={"orderId":13677225806,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"YrmyOOVffZBwpS39uD57p6","price":"0.00","avgPrice":"0.00","origQty":"0.0010","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1780302390794}
2026-06-01T13:56:27 | INFO     | trading_bot.orders | Order accepted — orderId=13677225806 status=NEW executedQty=0.0000 avgPrice=0.00
2026-06-01T13:56:53 | DEBUG    | trading_bot.validators | Validated: symbol=BTCUSDT side=SELL type=LIMIT qty=0.001 price=75000.0 stop_price=None
2026-06-01T13:56:53 | INFO     | trading_bot.orders | Placing order — type=LIMIT side=SELL symbol=BTCUSDT qty=0.001 price=75000.0 stop_price=None
2026-06-01T13:56:53 | DEBUG    | trading_bot.client | REQUEST POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'quantity': '0.001000', 'type': 'LIMIT', 'timeInForce': 'GTC', 'price': '75000.000000', 'recvWindow': 5000, 'timestamp': 1780302413997, 'signature': '***'}
2026-06-01T13:56:54 | DEBUG    | trading_bot.client | RESPONSE 200  body={"orderId":13677266853,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"5FAYsM6CUiawQG5woltyS1","price":"75000.00","avgPrice":"0.00","origQty":"0.0010","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1780302417340}
2026-06-01T13:56:54 | INFO     | trading_bot.orders | Order accepted — orderId=13677266853 status=NEW executedQty=0.0000 avgPrice=0.00
2026-06-01T13:58:49 | DEBUG    | trading_bot.validators | Validated: symbol=BTCUSDT side=BUY type=STOP_LIMIT qty=0.001 price=64500.0 stop_price=64000.0
2026-06-01T13:58:49 | INFO     | trading_bot.orders | Placing order — type=STOP_LIMIT side=BUY symbol=BTCUSDT qty=0.001 price=64500.0 stop_price=64000.0
2026-06-01T13:58:49 | DEBUG    | trading_bot.client | REQUEST POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'quantity': '0.001000', 'type': 'STOP', 'timeInForce': 'GTC', 'price': '64500.000000', 'stopPrice': '64000.000000', 'recvWindow': 5000, 'timestamp': 1780302529542, 'signature': '***'}
2026-06-01T13:58:49 | DEBUG    | trading_bot.client | RESPONSE 400  body={"code":-4120,"msg":"Order type not supported for this endpoint. Please use the Algo Order API endpoints instead."}
2026-06-01T13:58:49 | ERROR    | trading_bot.client | HTTP error 400 from https://testnet.binancefuture.com/fapi/v1/order: {"code":-4120,"msg":"Order type not supported for this endpoint. Please use the Algo Order API endpoints instead."}
2026-06-01T13:58:49 | ERROR    | trading_bot.cli | Binance API error [-4120]: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
